dataset,image,psnr,ssim,time
BSD100,BSD100_148026,20.137283043427804,0.622800321389395,0.057147399995301384
BSD100,BSD100_148089,22.018203222198217,0.5942062085498656,0.07859459999599494
BSD100,BSD100_156065,23.48933909199335,0.5572232665421105,0.14633179999509593
BSD100,BSD100_157055,24.544518659279206,0.7620771508714069,0.013556099998822901
BSD100,BSD100_159008,25.4998862617885,0.798300391755442,0.008759600001212675
BSD100,BSD100_160068,25.49804006067154,0.8277528028096687,0.008343400004378054
BSD100,BSD100_16077,25.914907893387582,0.7151834117245485,0.011471899997559376
BSD100,BSD100_163085,27.769048718127685,0.7935269517067906,0.01238030000240542
BSD100,BSD100_167062,29.10864105875184,0.8532561817626845,0.01510460000281455
BSD100,BSD100_167083,18.463557042731754,0.5053102891800841,0.009679599999799393
BSD100,BSD100_170057,27.92317370363879,0.799132984526323,0.007893699999840464
BSD100,BSD100_175032,19.553663645648008,0.4285010586964151,0.008050500000535976
BSD100,BSD100_175043,23.559821543964205,0.6675153257923009,0.01648890000069514
BSD100,BSD100_182053,22.64523946710281,0.7348263757422112,0.03952510000090115
BSD100,BSD100_189080,31.70256966571518,0.8593136083057509,0.04815519999829121
BSD100,BSD100_19021,25.085471618204917,0.7126766618070065,0.04059099999722093
BSD100,BSD100_196073,26.513883511303536,0.4664266715372564,0.041546599997673184
BSD100,BSD100_197017,26.330980103011402,0.6866549291808992,0.05197239999688463
BSD100,BSD100_208001,26.71423209872568,0.704981794552897,0.04919260000315262
BSD100,BSD100_210088,30.481519675214436,0.9049141597803225,0.046274099993752316
BSD100,BSD100_21077,24.654475996560002,0.695781648047109,0.042255100001057144
BSD100,BSD100_216081,23.96410218801352,0.6782297826265263,0.05563070000061998
BSD100,BSD100_219090,24.841991305288182,0.7195108355121977,0.05341400000179419
BSD100,BSD100_220075,25.50300954092854,0.8418996327842674,0.05166040000040084
BSD100,BSD100_223061,22.97644580011073,0.654129657983037,0.044870100005937275
BSD100,BSD100_227092,32.348881010970494,0.8394846332347085,0.05233250000310363
BSD100,BSD100_229036,21.011429043683776,0.5943964812518138,0.045631199995114
BSD100,BSD100_236037,23.397864027685724,0.6365471391252872,0.05956729999888921
BSD100,BSD100_24077,23.83083066823165,0.8259980757555967,0.046607399999629706
BSD100,BSD100_241004,30.25006800603269,0.8100705594460695,0.16227919999801088
BSD100,BSD100_241048,23.24454044520465,0.6027390493640343,0.19930160000512842
BSD100,BSD100_253027,20.77093400673175,0.6750276244165586,0.015193200000794604
BSD100,BSD100_253055,30.528771574163013,0.8091827229238953,0.009974699998565484
BSD100,BSD100_260058,30.940483422188937,0.7653827593307252,0.007841499995265622
BSD100,BSD100_271035,25.40974260272899,0.7259533228333509,0.011620299999776762
BSD100,BSD100_285079,23.48785870244077,0.6558463330079379,0.006937300000572577
BSD100,BSD100_291000,19.837605550138573,0.42297799017369836,0.007373099993856158
BSD100,BSD100_295087,25.89352304158972,0.7051901849350224,0.01632189999509137
BSD100,BSD100_296007,30.471535013385246,0.7676567014099455,0.014385299997229595
BSD100,BSD100_296059,29.027669813027504,0.7471883447672866,0.04231199999776436
BSD100,BSD100_299086,30.150850304459993,0.7817060830366219,0.05304880000039702
BSD100,BSD100_300091,26.906255497975042,0.757203003893354,0.062245099994470365
BSD100,BSD100_302008,29.14221860336267,0.9305692283129473,0.03959439999744063
BSD100,BSD100_304034,22.772071506593417,0.6658582676490398,0.0618735000025481
BSD100,BSD100_304074,24.31432062430288,0.6075325847779256,0.05428899999969872
BSD100,BSD100_306005,26.365225299404088,0.7771429043420013,0.1829451000012341
BSD100,BSD100_3096,35.65791116788296,0.9642402527507716,0.050510300003224984
BSD100,BSD100_33039,19.474739433268446,0.5926043926692844,0.04653659999894444
BSD100,BSD100_351093,21.16051926223969,0.6365230231844509,0.04799239999556448
BSD100,BSD100_361010,26.37303783980475,0.7577940889172221,0.04785260000062408
BSD100,BSD100_37073,27.708921895723975,0.7407904057609186,0.043111599996336736
BSD100,BSD100_376043,23.843998029088695,0.5984568171495438,0.0368430000016815
BSD100,BSD100_38082,25.792862081041616,0.6058143333781937,0.1610218000059831
BSD100,BSD100_38092,24.57663577088274,0.6883726295532934,0.04693580000457587
BSD100,BSD100_385039,22.008309635055873,0.6456316890794115,0.04769049999595154
BSD100,BSD100_41033,28.670203934327347,0.7554728343865001,0.05299190000368981
BSD100,BSD100_41069,22.220360901218534,0.4729505213148096,0.047181499998259824
BSD100,BSD100_42012,28.049149543093375,0.797844270039998,0.03581629999825964
BSD100,BSD100_42049,27.913340548147513,0.9046295053958479,0.05200390000391053
BSD100,BSD100_43074,28.470206978140848,0.8039028721315967,0.12056930000107968
BSD100,BSD100_45096,33.460805240348236,0.9149843868746679,0.05361740000080317
BSD100,BSD100_54082,26.737163579166634,0.6899134547667427,0.05089469999802532
BSD100,BSD100_55073,20.7235549738513,0.5084528818383168,0.046174000002793036
BSD100,BSD100_58060,19.717680047134188,0.579959609269992,0.053079899997101165
BSD100,BSD100_62096,23.08370870356729,0.7290380260772068,0.05083260000537848
BSD100,BSD100_65033,23.455306993582816,0.5626743676137036,0.053832300000067335
BSD100,BSD100_66053,25.825114784384713,0.6709468920309792,0.05191159999958472
BSD100,BSD100_69015,28.669869619566292,0.7933163018236268,0.1639735999997356
BSD100,BSD100_69020,25.70597803776235,0.5614061124107498,0.04538270000193734
BSD100,BSD100_69040,23.529649095868187,0.6361505909625857,0.04064190000644885
BSD100,BSD100_76053,27.51084823205968,0.674238193041878,0.03925689999596216
BSD100,BSD100_78004,24.087404983967474,0.6828703344100558,0.04945980000047712
BSD100,BSD100_8023,28.29899449808131,0.8655450517556483,0.045267599998624064
BSD100,BSD100_85048,23.686608165330085,0.67735791907584,0.04171019999921555
BSD100,BSD100_86000,23.759157307791213,0.7489311561564581,0.037338200003432576
BSD100,BSD100_86016,20.577096570835977,0.31362080783151325,0.05102979999355739
BSD100,BSD100_86068,25.546262092084795,0.534081100613748,0.04348819999722764
BSD100,BSD100_87046,24.593703853873915,0.7717198060345009,0.13590619999740738
BSD100,BSD100_89072,24.912456063313545,0.6944958601051585,0.049184299998159986
BSD100,BSD100_97033,23.022770892240278,0.6824769458855636,0.03890440000395756
Urban100,Urban100_img_001,24.681731495916324,0.7042062929426249,0.2236126999996486
Urban100,Urban100_img_002,23.81967570249177,0.7441530463398284,0.04067439999926137
Urban100,Urban100_img_003,21.16266139884838,0.6009974784875775,0.0747851999985869
Urban100,Urban100_img_004,20.849086696721223,0.7573142058068654,0.23448569999891333
Urban100,Urban100_img_005,23.948090296268468,0.8762603921632497,0.22736260000237962
Urban100,Urban100_img_006,19.92156582569749,0.5680550936302603,0.044476799994299654
Urban100,Urban100_img_007,26.400414807870433,0.8207591801486241,0.04703030000382569
Urban100,Urban100_img_008,19.244154643974817,0.6050781049651159,0.05238430000463268
Urban100,Urban100_img_009,30.175190174837567,0.8554810864260421,0.2642405000005965
Urban100,Urban100_img_010,23.25510337681984,0.802200498343982,0.03552050000143936
Urban100,Urban100_img_011,15.518413376497431,0.6485079647289295,0.026262899998982903
Urban100,Urban100_img_012,21.231531273031244,0.6670014401690617,0.205464500002563
Urban100,Urban100_img_013,25.899858123667233,0.7456764588115231,0.03422439999849303
Urban100,Urban100_img_014,20.48572529560794,0.6246281605549083,0.041069400002015755
Urban100,Urban100_img_015,22.817872663319374,0.6457215698328664,0.23660299999755807
Urban100,Urban100_img_016,26.194235661303637,0.8624083454949224,0.0407885999957216
Urban100,Urban100_img_017,22.936615014825115,0.7703958639955863,0.031116300000576302
Urban100,Urban100_img_018,23.925795720247542,0.6686781376839206,0.23229259999789065
Urban100,Urban100_img_019,18.83269147103698,0.7051391739302316,0.029022399998211768
Urban100,Urban100_img_020,19.91708537553483,0.6781101797754513,0.058542500002658926
Urban100,Urban100_img_021,27.327144407441164,0.7379073303683416,0.07307250000303611
Urban100,Urban100_img_022,24.27548248827469,0.7270290306025876,0.06285560000105761
Urban100,Urban100_img_023,26.50022766697837,0.8711783182954349,0.12319369999750052
Urban100,Urban100_img_024,17.673481907529307,0.5502462101175419,0.2035799000004772
Urban100,Urban100_img_025,26.848601560595604,0.8208507389809295,0.21072740000090562
Urban100,Urban100_img_026,24.887663002664667,0.5914443823707637,0.029305399999429937
Urban100,Urban100_img_027,26.056637784347096,0.7477695555201946,0.03461110000353074
Urban100,Urban100_img_028,28.579804530847245,0.8329470389430752,0.05014629999641329
Urban100,Urban100_img_029,22.66185511378056,0.7381384013555562,0.0620617000022321
Urban100,Urban100_img_030,21.058301475652584,0.6988212945206649,0.0786249000011594
Urban100,Urban100_img_031,22.046731639480672,0.74691874371187,0.09153199999855133
Urban100,Urban100_img_032,25.662369682314544,0.7806112061085528,0.06873240000277292
Urban100,Urban100_img_033,23.583112566903722,0.6814723865334019,0.21719039999879897
Urban100,Urban100_img_034,20.36723750058041,0.567605078342044,0.18995909999648575
Urban100,Urban100_img_035,23.15298790349921,0.7774642597464925,0.028853000003437046
Urban100,Urban100_img_036,25.735721031093878,0.8393416734113356,0.03126409999822499
Urban100,Urban100_img_037,23.58352167451529,0.7607540832503173,0.3256240000046091
Urban100,Urban100_img_038,24.119163838236307,0.5627315760085598,0.04235250000056112
Urban100,Urban100_img_039,20.22266314450475,0.6426470266602495,0.25956959999894025
Urban100,Urban100_img_040,20.7872497894248,0.7873337110288036,0.029540299998188857
Urban100,Urban100_img_041,21.239952596212255,0.7595908179897917,0.05592590000014752
Urban100,Urban100_img_042,25.371216477252496,0.834478618615838,0.23078059999534162
Urban100,Urban100_img_043,23.69101413487097,0.8191673905955786,0.19508050000149524
Urban100,Urban100_img_044,27.867467104266332,0.8015442610092977,0.02875099999801023
Urban100,Urban100_img_045,21.064199365381057,0.6326272949108676,0.03264900000067428
Urban100,Urban100_img_046,21.69728558688928,0.7223954344082119,0.24956709999969462
Urban100,Urban100_img_047,19.233322974192806,0.7068997281895196,0.027945599998929538
Urban100,Urban100_img_048,17.606840762311236,0.743009527431764,0.03496900000027381
Urban100,Urban100_img_049,20.237429991879452,0.6678177757174436,0.21895130000484642
Urban100,Urban100_img_050,22.95172203565297,0.7159202862809408,0.028512299999420065
Urban100,Urban100_img_051,24.495959179117758,0.7951786212370194,0.027875200001290068
Urban100,Urban100_img_052,24.09264797756007,0.788282190466782,0.05531820000032894
Urban100,Urban100_img_053,19.779300365583726,0.6718743348878609,0.07586609999998473
Urban100,Urban100_img_054,19.024854670121726,0.5989952825485367,0.09361860000353772
Urban100,Urban100_img_055,25.6290415555084,0.8002187521937936,0.09003469999879599
Urban100,Urban100_img_056,22.080113270974714,0.7039049834454095,0.25371630000154255
Urban100,Urban100_img_057,26.5594469292071,0.8212146155635084,0.27873750000435393
Urban100,Urban100_img_058,22.56812678412992,0.7891799105375105,0.027745999999751803
Urban100,Urban100_img_059,19.557891773482716,0.6845259079780986,0.028076499998860527
Urban100,Urban100_img_060,20.212965424034547,0.510903966975399,0.04225620000215713
Urban100,Urban100_img_061,22.231308060518128,0.7021146039423689,0.05491160000383388
Urban100,Urban100_img_062,19.11242900987788,0.7134184764386801,0.07192390000273008
Urban100,Urban100_img_063,18.508836599799782,0.5121378584262636,0.3252935999989859
Urban100,Urban100_img_064,24.31083560101712,0.7507364137171505,0.028145099997345824
Urban100,Urban100_img_065,23.036796792384003,0.6794530996080338,0.027556799999729265
Urban100,Urban100_img_066,20.53861712894971,0.6158561250814044,0.06846889999724226
Urban100,Urban100_img_067,16.54829973313482,0.7465197857191269,0.06897450000542449
Urban100,Urban100_img_068,27.179667941963498,0.8169260469762487,0.12871309999900404
Urban100,Urban100_img_069,22.415707811233567,0.6884317692987416,0.19605289999890374
Urban100,Urban100_img_070,20.509687304818417,0.5701395370633954,0.030135200002405327
Urban100,Urban100_img_071,25.049480172857457,0.5792259396003079,0.031043199996929616
Urban100,Urban100_img_072,16.83464405877968,0.6940101860105076,0.051144400000339374
Urban100,Urban100_img_073,18.651306252741293,0.5415918085883117,0.07197090000408934
Urban100,Urban100_img_074,21.17631783212106,0.6179099090383754,0.08633979999285657
Urban100,Urban100_img_075,26.844678939966023,0.8110478162080583,0.20610860000306275
Urban100,Urban100_img_076,20.56136464438858,0.6779052910317985,0.027511100000992883
Urban100,Urban100_img_077,20.96275373651921,0.6470533025838102,0.028919000003952533
Urban100,Urban100_img_078,25.304955215576925,0.7051550892049673,0.060362999996868894
Urban100,Urban100_img_079,23.07508412779218,0.6438347198923294,0.06861240000580437
Urban100,Urban100_img_080,32.552063490269035,0.9210180623681254,0.09503620000032242
Urban100,Urban100_img_081,29.185258010632673,0.8940776992201026,0.3080109999937122
