dataset,image,psnr,ssim,time
BSD100,BSD100_229036,20.654349483830327,0.5592686650495114,0.019445099999757076
BSD100,BSD100_236037,23.14879058662894,0.6094454797297961,0.02023700000017925
BSD100,BSD100_24077,22.616212373552358,0.786277311046287,0.019526000000041677
BSD100,BSD100_241004,29.745651317267168,0.7954935830837696,0.019435100000009697
BSD100,BSD100_241048,23.071066949998574,0.5823677968130853,0.06122559999994337
BSD100,BSD100_253027,20.520831867329594,0.652506871843247,0.05966999999964173
BSD100,BSD100_253055,30.033876674152648,0.7970052019870026,0.05674010000029739
BSD100,BSD100_260058,30.590402323193324,0.7514971972256115,0.049161199999616656
BSD100,BSD100_271035,24.86901508921585,0.6953492545597698,0.01990010000008624
BSD100,BSD100_285079,22.955023940642597,0.6223648664578806,0.01896889999989071
BSD100,BSD100_291000,19.673435569111597,0.3919730990430132,0.01969119999967006
BSD100,BSD100_295087,25.549908980182543,0.6836459774102149,0.01963819999991756
BSD100,BSD100_296007,30.24305389321284,0.75632735305858,0.019735899999886897
BSD100,BSD100_296059,28.566402914770514,0.7282066755227441,0.020685999999841442
BSD100,BSD100_299086,29.810928412136985,0.7669096509527753,0.01961299999993571
BSD100,BSD100_300091,26.442400627360048,0.7394499730506096,0.01892199999974764
BSD100,BSD100_302008,27.34305623564659,0.9123010566122979,0.01946380000026693
BSD100,BSD100_304034,22.51425739647189,0.6403265209293444,0.020304699999996956
BSD100,BSD100_304074,23.94614929301823,0.5811440317276421,0.020147500000348373
BSD100,BSD100_306005,25.87102164933782,0.7532868922268415,0.02057539999987057
BSD100,BSD100_3096,34.61400957266298,0.9578500255371717,0.019835999999941123
BSD100,BSD100_33039,19.19462096036412,0.564065352563362,0.06192509999982576
BSD100,BSD100_351093,20.924338840829797,0.6179700779842904,0.054518300000381714
BSD100,BSD100_361010,25.68777162901995,0.7344939778619565,0.06030350000037288
BSD100,BSD100_37073,27.122533197883367,0.7198450754339234,0.049936800000068615
BSD100,BSD100_376043,23.511933247410212,0.5679787978540304,0.021032800000284624
BSD100,BSD100_38082,25.632817008015785,0.5867932047960408,0.020704200000182027
BSD100,BSD100_38092,24.260116987975557,0.6681425155278133,0.020956899999873713
BSD100,BSD100_385039,21.667558079986247,0.6186618283977806,0.020975599999928818
BSD100,BSD100_41033,28.20350875705809,0.7364928819441422,0.020906900000227324
BSD100,BSD100_41069,22.06228493945066,0.4438722253920933,0.021061200000076497
BSD100,BSD100_42012,27.649014014308708,0.7808678338042491,0.02023570000028485
BSD100,BSD100_42049,26.842968722396115,0.8834682475608128,0.020216200000049867
BSD100,BSD100_43074,28.265274535255926,0.7914877848906633,0.020281600000089384
BSD100,BSD100_45096,32.65492776600926,0.9034203892927004,0.020117999999911262
BSD100,BSD100_54082,26.51857388168058,0.6738808750883788,0.02025199999980032
BSD100,BSD100_55073,20.496511843325106,0.4784291393921891,0.020423999999820808
BSD100,BSD100_58060,19.532028311429283,0.550962058311835,0.020544900000004418
BSD100,BSD100_62096,22.55653718393841,0.6973220297010965,0.059746399999767164
BSD100,BSD100_65033,23.115414958973677,0.5286174539501536,0.05194050000000061
BSD100,BSD100_66053,25.51853529849297,0.6458608165342975,0.05282790000001114
BSD100,BSD100_69015,28.031995219002425,0.765116803171107,0.060422900000048685
BSD100,BSD100_69020,25.44618056148944,0.5362635407676292,0.05621960000007675
BSD100,BSD100_69040,23.247037717292812,0.6028957939194962,0.06089559999963967
BSD100,BSD100_76053,27.182190482307085,0.6539125630299668,0.050512199999957375
BSD100,BSD100_78004,23.671290383180054,0.6543201912646159,0.021861799999896903
BSD100,BSD100_8023,27.73475515430057,0.8491496012759759,0.021788199999718927
BSD100,BSD100_85048,23.23122302356385,0.6448286513142671,0.02052819999971689
BSD100,BSD100_86000,23.138568287111543,0.712383771290451,0.020543300000099407
BSD100,BSD100_86016,20.521413656928797,0.2942983145916427,0.020511200000328245
BSD100,BSD100_86068,25.38505509348868,0.5133046835707366,0.02045219999990877
BSD100,BSD100_87046,24.14615817419076,0.7476659309707449,0.020510599999852275
BSD100,BSD100_89072,24.479966643024532,0.6639482096659672,0.020447800000056304
BSD100,BSD100_97033,22.59878285227071,0.6532514095602265,0.021997100000135106
Urban100,Urban100_img_001,24.09076816542929,0.6728749936042911,0.09628709999969942
Urban100,Urban100_img_002,23.312855474876063,0.7072049831883404,0.08538289999978588
Urban100,Urban100_img_003,20.788019802209842,0.5666482662938974,0.06476110000039625
Urban100,Urban100_img_004,20.502420718147484,0.7316078067715185,0.06409730000041236
Urban100,Urban100_img_005,22.87587604458515,0.8444108493462633,0.09987139999975625
Urban100,Urban100_img_006,19.460354631778337,0.5255578987881839,0.10104409999985364
Urban100,Urban100_img_007,25.512092125425376,0.7922326980311065,0.0514234000002034
Urban100,Urban100_img_008,18.81914159976791,0.5621515939401399,0.04313990000036938
Urban100,Urban100_img_009,29.48533873253421,0.8391656184357803,0.06049299999995128
Urban100,Urban100_img_010,22.52503409360976,0.7773396663376201,0.07941140000002633
Urban100,Urban100_img_011,15.198870978963981,0.6074404889124837,0.050149900000178604
Urban100,Urban100_img_012,20.82928030775596,0.6333583728829226,0.06818669999984195
Urban100,Urban100_img_013,24.981163101781064,0.7043668787022849,0.07932849999997416
Urban100,Urban100_img_014,20.23618359823329,0.5994625847371137,0.07628059999979087
Urban100,Urban100_img_015,22.143811624299452,0.608456125182633,0.05682999999999083
Urban100,Urban100_img_016,25.20232114650677,0.8396171546744423,0.12390019999975266
